row.names,Animal,Stratum,Area,Strip,Length,StripA,SignPerp,x,y,east,north,s,c,v,o1,o2,o3,o4,o5,o6,o7,o8
126,126,1,1040,6,12,96,3.38,3.38,6.84,47.38,6.84,4,1,1,1,0,1,0,1,1,0,1
127,127,1,1040,6,12,96,-0.28,0.28,6.85,43.72,6.85,6,1,0,1,1,1,0,0,1,1,1
128,128,1,1040,6,12,96,-3.05,3.05,9.6,40.95,9.6,4,1,0,0,1,1,0,0,0,0,0
129,129,1,1040,6,12,96,2.99,2.99,10.97,46.99,10.97,2,1,0,0,0,0,0,0,0,0,0
130,130,1,1040,6,12,96,-3.56,3.56,11.56,40.44,11.56,1,1,1,0,0,0,0,0,0,0,0
131,131,2,640,7,23,184,2.64,2.64,0.77,6.64,-0.77,4,0,0,0,0,0,0,0,0,0,0
132,132,2,640,7,23,184,-2.65,2.65,1.92,1.35,-1.92,2,1,0,0,0,0,0,0,0,0,1
133,133,2,640,7,23,184,-3.95,3.95,2.54,0.05,-2.54,4,0,0,0,0,0,0,0,0,0,0
134,134,2,640,7,23,184,-3.84,3.84,3.04,0.16,-3.04,1,1,1,0,0,0,0,0,0,0,1
135,135,2,640,7,23,184,0.78,0.78,3.46,4.78,-3.46,4,1,0,1,0,0,1,1,1,1,1
136,136,2,640,7,23,184,2.47,2.47,3.71,6.47,-3.71,2,0,1,0,0,1,0,0,0,1,0
137,137,2,640,7,23,184,3.89,3.89,6.43,7.89,-6.43,3,0,1,0,0,0,0,0,0,0,0
138,138,2,640,7,23,184,3.63,3.63,7.3,7.63,-7.3,1,1,1,1,0,0,0,1,0,0,0
139,139,2,640,7,23,184,1.19,1.19,7.63,5.19,-7.63,5,1,0,0,0,0,0,1,0,0,0
140,140,2,640,7,23,184,-2.86,2.86,7.74,1.14,-7.74,2,0,0,0,0,0,0,0,0,0,0
141,141,2,640,7,23,184,-2.25,2.25,7.79,1.75,-7.79,3,1,1,0,0,1,1,1,1,1,0
142,142,2,640,7,23,184,-1.76,1.76,9.49,2.24,-9.49,3,0,1,0,0,1,1,0,0,0,1
143,143,2,640,7,23,184,-1.57,1.57,9.86,2.43,-9.86,3,1,0,0,0,0,0,0,0,0,0
144,144,2,640,7,23,184,-1.49,1.49,10.92,2.51,-10.92,2,1,1,1,1,1,1,1,1,1,1
145,145,2,640,7,23,184,3.56,3.56,11.77,7.56,-11.77,3,0,0,0,0,0,0,0,0,0,0
146,146,2,640,7,23,184,-2.69,2.69,12.63,1.31,-12.63,2,1,1,0,1,0,0,0,1,1,0
147,147,2,640,7,23,184,-0.25,0.25,13.34,3.75,-13.34,2,1,1,1,1,1,1,0,1,0,1
148,148,2,640,7,23,184,-1.56,1.56,14.05,2.44,-14.05,3,1,0,0,0,0,0,1,0,0,0
149,149,2,640,7,23,184,-0.69,0.69,14.17,3.31,-14.17,2,1,1,0,1,1,0,1,1,1,1
150,150,2,640,7,23,184,-0.79,0.79,14.8,3.21,-14.8,2,0,0,1,0,0,0,0,0,0,0
151,151,2,640,7,23,184,1.26,1.26,15.58,5.26,-15.58,5,0,0,0,0,0,0,0,0,0,0
152,152,2,640,7,23,184,3.15,3.15,16.4,7.15,-16.4,3,0,1,0,0,0,0,1,0,0,0
153,153,2,640,7,23,184,0.02,0.02,16.62,4.02,-16.62,2,0,1,1,1,1,1,0,1,1,1
154,154,2,640,7,23,184,3.11,3.11,17.27,7.11,-17.27,1,1,0,1,0,0,0,0,0,0,0
155,155,2,640,7,23,184,1.17,1.17,17.37,5.17,-17.37,6,0,1,0,1,0,1,1,0,0,0
156,156,2,640,7,23,184,-3.91,3.91,17.55,0.09,-17.55,5,0,1,0,0,0,0,0,0,0,0
157,157,2,640,7,23,184,-0.03,0.03,17.59,3.97,-17.59,4,1,1,0,1,1,1,1,1,1,1
158,158,2,640,7,23,184,1.43,1.43,20.85,5.43,-20.85,4,1,0,0,0,1,0,0,0,1,0
159,159,2,640,7,23,184,3.33,3.33,21.29,7.33,-21.29,1,0,0,0,0,0,0,0,0,0,0
160,160,2,640,8,23,184,2.42,2.42,0.21,14.42,-0.21,2,0,0,0,0,0,0,0,0,0,0
161,161,2,640,8,23,184,-2.4,2.4,1.34,9.6,-1.34,3,0,0,0,0,0,0,0,0,0,0
162,162,2,640,8,23,184,-1.71,1.71,2.11,10.29,-2.11,2,0,0,0,0,0,0,0,0,0,0
163,163,2,640,8,23,184,2.78,2.78,3.07,14.78,-3.07,2,0,0,0,0,0,0,0,0,0,0
164,164,2,640,8,23,184,-0.67,0.67,3.54,11.33,-3.54,2,1,1,1,0,1,1,0,1,0,1
165,165,2,640,8,23,184,-2.3,2.3,4.59,9.7,-4.59,4,1,0,0,1,1,0,0,1,0,0
166,166,2,640,8,23,184,-1.8,1.8,4.83,10.2,-4.83,3,0,1,1,1,0,0,0,0,0,0
167,167,2,640,8,23,184,1.27,1.27,5.17,13.27,-5.17,3,0,1,1,0,0,1,0,0,0,1
168,168,2,640,8,23,184,-0.36,0.36,5.38,11.64,-5.38,2,0,0,0,0,0,0,0,0,0,1
169,169,2,640,8,23,184,-0.29,0.29,6.79,11.71,-6.79,3,1,0,0,1,1,0,1,1,1,0
170,170,2,640,8,23,184,-0.3,0.3,7.42,11.7,-7.42,3,1,1,1,1,1,1,1,1,1,1
171,171,2,640,8,23,184,2.91,2.91,8.79,14.91,-8.79,3,1,0,0,0,0,0,0,0,0,1
172,172,2,640,8,23,184,-2.42,2.42,9.16,9.58,-9.16,4,1,1,0,0,0,0,0,0,0,0
173,173,2,640,8,23,184,2.41,2.41,9.71,14.41,-9.71,5,0,0,0,0,0,0,0,0,1,0
174,174,2,640,8,23,184,3.93,3.93,11.54,15.93,-11.54,2,0,1,0,0,0,0,0,0,0,0
175,175,2,640,8,23,184,-3.24,3.24,11.93,8.76,-11.93,4,0,1,0,0,0,0,0,0,1,1
176,176,2,640,8,23,184,-2.78,2.78,12,9.22,-12,5,0,1,0,0,0,0,0,0,1,0
177,177,2,640,8,23,184,2.84,2.84,12.64,14.84,-12.64,3,0,0,0,0,0,0,0,0,0,0
178,178,2,640,8,23,184,-2.85,2.85,12.66,9.15,-12.66,3,1,1,0,0,0,0,1,1,0,1
179,179,2,640,8,23,184,0.94,0.94,13.56,12.94,-13.56,3,0,0,0,0,0,0,0,0,0,0
180,180,2,640,8,23,184,1.93,1.93,13.73,13.93,-13.73,3,1,1,0,1,1,1,1,0,1,0
181,181,2,640,8,23,184,2.18,2.18,13.85,14.18,-13.85,4,0,0,0,0,0,0,0,0,0,0
182,182,2,640,8,23,184,-0.08,0.08,14.56,11.92,-14.56,1,0,1,0,1,1,0,0,0,1,1
183,183,2,640,8,23,184,-3.52,3.52,14.68,8.48,-14.68,6,0,0,0,0,0,0,0,0,0,0
184,184,2,640,8,23,184,2.22,2.22,15.2,14.22,-15.2,4,0,0,0,0,0,0,1,0,0,0
185,185,2,640,8,23,184,-0.55,0.55,15.65,11.45,-15.65,3,0,1,1,1,1,0,1,1,0,1
186,186,2,640,8,23,184,-3.92,3.92,17.8,8.08,-17.8,4,1,0,0,0,0,0,0,0,0,0
187,187,2,640,8,23,184,-1.51,1.51,18.68,10.49,-18.68,2,1,1,0,0,1,1,0,0,0,0
188,188,2,640,8,23,184,-2.11,2.11,18.7,9.89,-18.7,1,1,1,1,0,1,0,0,0,0,0
189,189,2,640,8,23,184,-1.55,1.55,19.1,10.45,-19.1,4,1,1,0,1,1,1,1,0,1,1
190,190,2,640,8,23,184,1.14,1.14,19.67,13.14,-19.67,4,1,1,0,1,1,1,0,1,0,1
191,191,2,640,8,23,184,0.78,0.78,20.85,12.78,-20.85,1,0,0,0,0,0,1,0,0,1,0
192,192,2,640,8,23,184,1.84,1.84,21.03,13.84,-21.03,5,0,0,0,0,0,0,0,0,0,0
193,193,2,640,8,23,184,-0.22,0.22,21.2,11.78,-21.2,2,1,1,1,1,1,0,1,1,1,1
194,194,2,640,8,23,184,1.22,1.22,21.42,13.22,-21.42,7,0,1,0,1,0,1,0,0,1,0
195,195,2,640,9,15,120,1.94,1.94,1.43,21.94,-1.43,5,1,0,0,0,0,0,0,0,0,0
196,196,2,640,9,15,120,-2.07,2.07,2.75,17.93,-2.75,3,0,0,0,0,0,0,0,0,0,0
197,197,2,640,9,15,120,1.71,1.71,2.75,21.71,-2.75,5,1,0,0,0,0,0,0,0,0,0
198,198,2,640,9,15,120,-1.71,1.71,2.87,18.29,-2.87,2,0,1,0,0,0,0,0,0,0,0
199,199,2,640,9,15,120,-1.73,1.73,3.64,18.27,-3.64,2,0,0,0,0,0,0,0,0,0,0
200,200,2,640,9,15,120,3.47,3.47,3.94,23.47,-3.94,3,1,0,0,0,0,0,0,0,0,0
201,201,2,640,9,15,120,-2.96,2.96,4.38,17.04,-4.38,3,1,0,1,0,0,0,1,0,0,0
202,202,2,640,9,15,120,3.98,3.98,5.11,23.98,-5.11,1,0,1,0,0,0,0,0,0,0,0
203,203,2,640,9,15,120,0.47,0.47,5.22,20.47,-5.22,3,0,0,0,0,0,0,0,1,0,0
204,204,2,640,9,15,120,-1,1,6.29,19,-6.29,5,0,1,1,0,1,1,0,1,0,0
205,205,2,640,9,15,120,-2.74,2.74,6.38,17.26,-6.38,4,1,1,1,1,0,0,1,1,0,1
206,206,2,640,9,15,120,-0.11,0.11,6.71,19.89,-6.71,1,0,1,1,1,1,0,1,0,1,1
207,207,2,640,9,15,120,2.1,2.1,6.77,22.1,-6.77,1,1,0,0,1,0,0,0,0,0,0
208,208,2,640,9,15,120,1.79,1.79,6.93,21.79,-6.93,4,0,0,0,0,0,0,0,0,0,1
209,209,2,640,9,15,120,-2.5,2.5,7.3,17.5,-7.3,2,0,0,0,0,0,0,0,0,0,0
210,210,2,640,9,15,120,-3.59,3.59,8.84,16.41,-8.84,5,0,0,0,0,0,0,0,0,0,0
211,211,2,640,9,15,120,-3.13,3.13,10.15,16.87,-10.15,1,1,0,0,0,0,0,0,0,0,0
212,212,2,640,9,15,120,3.84,3.84,11.23,23.84,-11.23,2,0,0,0,0,0,0,0,0,0,0
213,213,2,640,9,15,120,-1.6,1.6,11.24,18.4,-11.24,2,1,1,0,1,1,1,0,1,1,0
214,214,2,640,9,15,120,-1.38,1.38,13.35,18.62,-13.35,2,0,0,0,0,0,0,0,0,0,1
215,215,2,640,10,12,96,1.6,1.6,1.09,29.6,-1.09,8,1,1,1,0,1,0,1,1,0,1
216,216,2,640,10,12,96,1.39,1.39,1.75,29.39,-1.75,5,0,1,0,0,0,0,0,0,0,1
217,217,2,640,10,12,96,1.02,1.02,2.39,29.02,-2.39,1,1,0,0,1,0,0,0,1,0,0
218,218,2,640,10,12,96,-3.47,3.47,3.19,24.53,-3.19,3,1,0,0,0,0,0,0,0,0,0
219,219,2,640,10,12,96,0.02,0.02,3.65,28.02,-3.65,1,1,0,0,1,1,0,0,0,0,0
220,220,2,640,10,12,96,3.98,3.98,4.39,31.98,-4.39,3,0,0,0,0,0,0,0,0,0,0
221,221,2,640,10,12,96,-1.47,1.47,4.74,26.53,-4.74,5,0,1,1,1,0,0,1,1,0,1
222,222,2,640,10,12,96,0.75,0.75,4.77,28.75,-4.77,1,1,0,0,0,0,0,0,0,0,0
223,223,2,640,10,12,96,3.65,3.65,4.96,31.65,-4.96,5,0,1,0,0,0,0,1,0,0,0
224,224,2,640,10,12,96,3.68,3.68,6.17,31.68,-6.17,3,0,1,0,0,0,0,0,0,0,0
225,225,2,640,10,12,96,-0.86,0.86,6.32,27.14,-6.32,3,0,1,1,1,1,0,1,0,0,1
226,226,2,640,10,12,96,2.42,2.42,6.79,30.42,-6.79,1,1,0,0,0,0,0,0,0,0,0
227,227,2,640,10,12,96,3.49,3.49,7.45,31.49,-7.45,6,0,0,0,0,0,0,0,0,0,0
228,228,2,640,10,12,96,3.57,3.57,7.78,31.57,-7.78,2,0,0,0,0,0,0,0,0,0,0
229,229,2,640,10,12,96,0.41,0.41,7.91,28.41,-7.91,3,1,1,0,1,1,1,0,0,1,1
230,230,2,640,10,12,96,3.83,3.83,7.99,31.83,-7.99,2,1,0,0,0,0,0,0,0,0,0
231,231,2,640,10,12,96,0.11,0.11,8.71,28.11,-8.71,4,0,0,0,1,0,0,0,0,0,0
232,232,2,640,10,12,96,-2.48,2.48,8.74,25.52,-8.74,1,0,1,0,0,0,1,0,1,1,0
233,233,2,640,10,12,96,0.25,0.25,9.16,28.25,-9.16,3,0,1,1,1,0,1,1,0,1,1
234,234,2,640,10,12,96,-1.49,1.49,9.19,26.51,-9.19,4,0,0,0,0,0,0,0,0,1,0
235,235,2,640,10,12,96,-1.15,1.15,9.61,26.85,-9.61,2,1,1,0,1,0,0,1,1,1,0
236,236,2,640,10,12,96,3.04,3.04,9.94,31.04,-9.94,3,0,0,0,0,0,0,0,0,0,0
237,237,2,640,10,12,96,1,1,10.19,29,-10.19,6,1,0,0,1,0,0,0,1,0,1
238,238,2,640,10,12,96,-3.56,3.56,10.37,24.44,-10.37,3,1,0,0,0,0,0,0,0,0,0
239,239,2,640,10,12,96,0.47,0.47,10.8,28.47,-10.8,5,0,1,0,0,1,0,0,1,0,1
240,240,2,640,11,7,56,-1.71,1.71,0.62,34.29,-0.62,3,1,0,0,0,0,0,0,0,0,1
241,241,2,640,11,7,56,-2.61,2.61,0.66,33.39,-0.66,3,1,1,0,1,1,0,1,1,1,1
242,242,2,640,11,7,56,2.41,2.41,3.18,38.41,-3.18,1,1,1,0,0,0,0,0,1,0,0
243,243,2,640,11,7,56,-0.11,0.11,3.49,35.89,-3.49,1,0,1,1,1,1,1,1,0,1,1
244,244,2,640,11,7,56,3.84,3.84,3.93,39.84,-3.93,3,1,0,0,0,0,0,0,0,0,0
245,245,2,640,11,7,56,2.97,2.97,4.04,38.97,-4.04,3,1,0,0,0,0,0,0,0,0,0
246,246,2,640,11,7,56,1.29,1.29,4.23,37.29,-4.23,1,0,0,0,0,0,0,0,0,0,1
247,247,2,640,11,7,56,-0.71,0.71,4.26,35.29,-4.26,2,1,0,0,0,0,0,0,0,0,0
248,248,2,640,11,7,56,-2.95,2.95,4.51,33.05,-4.51,3,1,0,0,0,0,0,0,1,0,0
249,249,2,640,11,7,56,1.41,1.41,4.69,37.41,-4.69,4,1,0,1,0,1,0,0,1,0,0
250,250,2,640,11,7,56,-3.34,3.34,5.55,32.66,-5.55,3,0,0,0,0,0,0,0,0,0,0
